Judul Artikel,Tanggal Upload,Alamat
Instruksi Kapolri kepada Anak Buahnya Terkait Penerapan PPKM Darurat,"
nasional
Instruksi Kapolri kepada Anak Buahnya Terkait Penerapan PPKM Darurat
Besok kita akan memasuki masa PPKM Darurat dan Operasi Aman Nusa II Penanganan Covid-19 Lanjutan di Jawa dan Bali.
01 Juli 2021 19:08 WIB
",01 Juli 2021 19:08 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434040/instruksi-kapolri-kepada-anak-buahnya-terkait-penerapan-ppkm-darurat
Ada Ratusan Pemda Belum Tuntaskan Penyederhanaan Birokrasi,"
economy
Ada Ratusan Pemda Belum Tuntaskan Penyederhanaan Birokrasi
Ratusan pemerintah daerah (pemda) belum menuntaskan penyederhanaan birokrasi.
01 Juli 2021 18:28 WIB
",01 Juli 2021 18:28 WIB,https://economy.okezone.com/read/2021/07/01/320/2434021/ada-ratusan-pemda-belum-tuntaskan-penyederhanaan-birokrasi
Wapres Dorong Instansi Segera Lakukan Penyederhanaan Birokrasi,"
nasional
Wapres Dorong Instansi Segera Lakukan Penyederhanaan Birokrasi
Wakil Presiden Republik Indonesia Ma'ruf Amin meminta instansi pemerintah yang belum melakukan penyederhanaan birokrasi
01 Juli 2021 18:27 WIB
",01 Juli 2021 18:27 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434020/wapres-dorong-instansi-segera-lakukan-penyederhanaan-birokrasi
"PPKM Darurat, Ini Pesan Mendagri Tito Karnavian","
nasional
PPKM Darurat, Ini Pesan Mendagri Tito Karnavian
Ini masalah kendali sosial, kendali masyarakat cukup banyak se-Jawa Bali.
01 Juli 2021 16:31 WIB
",01 Juli 2021 16:31 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433941/ppkm-darurat-ini-pesan-mendagri-tito-karnavian
"Soal PPKM Darurat Jawa-Bali, Mendagri Tito : Kami Siapkan Regulasinya","
nasional
Soal PPKM Darurat Jawa-Bali, Mendagri Tito : Kami Siapkan Regulasinya
Tentang PPKM Darurat Jawa-Bali, itu akan kami tuangkan dalam bentuk regulasi, tadi disepakati Intruksi Mendagri.
01 Juli 2021 16:19 WIB
",01 Juli 2021 16:19 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433930/soal-ppkm-darurat-jawa-bali-mendagri-tito-kami-siapkan-regulasinya
"Lockdown Mini Jawa-Bali, Selengkapnya di iNews Sore Kamis Pukul 16.00 WIB","
nasional
Lockdown Mini Jawa-Bali, Selengkapnya di iNews Sore Kamis Pukul 16.00 WIB
Fasilitas umum, tempat ibadah, kegiatan olahraga seni dan budaya ditutup.
01 Juli 2021 16:00 WIB
",01 Juli 2021 16:00 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433921/lockdown-mini-jawa-bali-selengkapnya-di-inews-sore-kamis-pukul-16-00-wib
Food Estate Jadi Senjata Atasi Ancaman Krisis Pangan Akibat Covid-19,"
economy
Food Estate Jadi Senjata Atasi Ancaman Krisis Pangan Akibat Covid-19
Negara anggota G20 membahas perubahan tata kelola ketersediaan pangan dunia akibat pandemi Covid-19
01 Juli 2021 15:23 WIB
",01 Juli 2021 15:23 WIB,https://economy.okezone.com/read/2021/07/01/320/2433900/food-estate-jadi-senjata-atasi-ancaman-krisis-pangan-akibat-covid-19
Luhut: Kepala Daerah Bisa Diberhentikan Jika Tak Jalankan Ketentuan PPKM Darurat,"
nasional
Luhut: Kepala Daerah Bisa Diberhentikan Jika Tak Jalankan Ketentuan PPKM Darurat
Menurut Luhut, Gubernur, Bupati dan Wali Kota bisa diberhentikan sementara apabila tak menjalankan aturan yang tertuang dalam detil PPKM
01 Juli 2021 14:50 WIB
",01 Juli 2021 14:50 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433876/luhut-kepala-daerah-bisa-diberhentikan-jika-tak-jalankan-ketentuan-ppkm-darurat
"PPKM Darurat, Menko Luhut: Kita Belajar dari Negara Lain dan Presiden Setuju","
economy
PPKM Darurat, Menko Luhut: Kita Belajar dari Negara Lain dan Presiden Setuju
PPKM darurat resmi diberlakukan mulai 3 Juli hingga 20 Juli 2021.
01 Juli 2021 14:41 WIB
",01 Juli 2021 14:41 WIB,https://economy.okezone.com/read/2021/07/01/320/2433863/ppkm-darurat-menko-luhut-kita-belajar-dari-negara-lain-dan-presiden-setuju
"Pemerintah Terapkan PPKM Darurat, Berikut Beberapa Faktanya ","
nasional
Pemerintah Terapkan PPKM Darurat, Berikut Beberapa Faktanya 
Beberapa hal terkait pemberlakuan PPKM Darurat.
02 Juli 2021 04:22 WIB
",02 Juli 2021 04:22 WIB,https://nasional.okezone.com/read/2021/07/02/337/2434184/pemerintah-terapkan-ppkm-darurat-berikut-beberapa-faktanya
